date,SP500
,SPY
2004-11-11,85.3227449421
2004-11-12,85.9960026387
2004-11-15,86.2066830703
2004-11-16,85.5895164233
2004-11-17,86.0977713518
2004-11-18,86.2139401727
2004-11-19,85.2555234392
2004-11-22,85.662128108
2004-11-23,85.792822025
2004-11-24,85.9961210921
2004-11-26,85.9307715924
2004-11-29,85.5386920195
2004-11-30,85.5967786083
2004-12-01,86.5697197118
2004-12-02,86.642326314
2004-12-03,86.5842389992
2004-12-06,86.5551953418
2004-12-07,85.7492532716
2004-12-08,86.2502460151
2004-12-09,86.5551953418
2004-12-10,86.642326314
2004-12-13,87.3974432544
2004-12-14,87.7023925811
2004-12-15,87.7677362723
2004-12-16,87.7169118686
2004-12-17,87.1345241318
2004-12-20,87.1564091665
2004-12-21,87.827571144
2004-12-22,88.0391342612
2004-12-23,88.1047893653
2004-12-27,87.9224079967
2004-12-28,88.4038969984
2004-12-29,88.5352123133
2004-12-30,88.3674185361
2004-12-31,88.1777462899
2005-01-03,87.7619167694
2005-01-04,86.6895135924
2005-01-05,86.0913027033
2005-01-06,86.5290172585
2005-01-07,86.4049986574
2005-01-10,86.813531464
2005-01-11,86.2153205749
2005-01-12,86.49983551
2005-01-13,85.8067884978
2005-01-14,86.2590906444
2005-01-18,87.1564091665
2005-01-19,86.2445023234
2005-01-20,85.7192432523
2005-01-21,85.1939841811
2005-01-24,85.0261962401
2005-01-25,85.2669352695
2005-01-26,85.5222735627
2005-01-27,85.6681764691
2005-01-28,85.6681764691
2005-01-31,86.2007329835
2005-02-01,86.7478770894
2005-02-02,87.0105011536
2005-02-03,86.7843497155
2005-02-04,87.7108499862
2005-02-07,87.5941237217
2005-02-08,87.6962565586
2005-02-09,87.0396829021
2005-02-10,87.3533788561
2005-02-11,88.1047893653
2005-02-14,88.0391342612
2005-02-15,88.3674185361
2005-02-16,88.4257820331
2005-02-17,87.7108499862
2005-02-18,87.827571144
2005-02-22,86.5217198152
2005-02-23,87.141815739
2005-02-24,87.7181415933
2005-02-25,88.586278367
2005-02-28,88.0026557989
2005-03-01,88.4403754607
2005-03-02,88.3966002846
2005-03-03,88.4330787469
2005-03-04,89.5346636724
2005-03-07,89.5784337418
2005-03-08,89.2428527531
2005-03-09,88.2506973783
2005-03-10,88.4476670678
2005-03-11,87.827571144
2005-03-14,88.3747152499
2005-03-15,87.6451897754
2005-03-16,86.9010767095
2005-03-17,87.0761613644
2005-03-18,86.8187045292
2005-03-21,86.496446303
2005-03-22,85.6175691537
2005-03-23,85.6908076955
2005-03-24,85.7933429723
2005-03-28,85.9178502511
